ARO_Term	Drug_Class	All_Mapped_Reads	Average_Percent_Coverage
OXA-645	carbapenem; penicillin beta-lactam	39.00	97.82
OXA-652	carbapenem; penicillin beta-lactam	51.00	88.12
OXA-658	penicillin beta-lactam	1.00	3.19
OXA-667	carbapenem; penicillin beta-lactam	15.00	76.83
OXA-666	penicillin beta-lactam	1.00	17.19
OXA-675	cephalosporin; penicillin beta-lactam	19.00	37.79
OXA-732	penicillin beta-lactam	92.00	100.00
OXA-651	carbapenem; penicillin beta-lactam	97.00	100.00
OXA-819	carbapenem; penicillin beta-lactam	2.00	4.87
OXA-827	cephalosporin; penicillin beta-lactam	8.00	21.22
OXA-644	carbapenem; penicillin beta-lactam	4.00	42.30
OXA-662	carbapenem; penicillin beta-lactam	31.00	99.15
OXA-896	penicillin beta-lactam	3.00	34.91
OXA-917	carbapenem; penicillin beta-lactam	5.00	59.25
OXA-676	cephalosporin; penicillin beta-lactam	2.00	22.85
OXA-650	carbapenem; penicillin beta-lactam	107.00	100.00
PDC-133	monobactam; carbapenem; cephalosporin	16.00	17.34
PDC-457	monobactam; carbapenem; cephalosporin	2.00	4.69
PLN-1	carbapenem	6.00	12.53
OXA-947	carbapenem; penicillin beta-lactam	7.00	4.83
PAU-1	carbapenem; cephalosporin	4.00	37.41
RUB-1	cephalosporin	10.00	9.36
MCR-10.3	peptide antibiotic	2.00	18.52
VEB-11	monobactam; cephalosporin	4.00	39.56
mdeA	fluoroquinolone antibiotic; aminoglycoside antibiotic; penicillin beta-lactam; tetracycline antibiotic; disinfecting agents and antiseptics	3.00	15.42
sepA	disinfecting agents and antiseptics	2.00	3.59
Alkalihalobacillus clausii chloramphenicol acetyltransferase	phenicol antibiotic	34.00	23.73
fexB	phenicol antibiotic	3.00	2.34
MexI	fluoroquinolone antibiotic; disinfecting agents and antiseptics	84.00	55.02
MexG		12.00	28.41
Bifidobacterium bifidum ileS conferring resistance to mupirocin	mupirocin-like antibiotic	42.00	68.53
YEM-1	carbapenem	3.00	6.34
TolC	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	25.00	91.06
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	rifamycin antibiotic	444.00	83.35
YojI	peptide antibiotic	31.00	72.57
vanY gene in vanG cluster	glycopeptide antibiotic	10.00	5.48
vanTm gene in vanL cluster	glycopeptide antibiotic	1.00	1.92
vanR gene in vanN cluster	glycopeptide antibiotic	1.00	2.45
cph	aminoglycoside antibiotic	2.00	2.72
LnuH	lincosamide antibiotic	290.00	100.00
tet(O/32/O)	tetracycline antibiotic	15.00	45.21
tet(O/W)	tetracycline antibiotic	2.00	15.73
tet(O/W/32/O)	tetracycline antibiotic	3.00	19.69
tet(X3)	glycylcycline; tetracycline antibiotic	65.00	55.01
mef(J)	macrolide antibiotic	20.00	97.82
tet(W/32/O)	tetracycline antibiotic	7.00	29.69
AAC(6')-Ie-APH(2'')-Ia bifunctional protein	aminoglycoside antibiotic	17.00	64.31
tet(O/M/O)	tetracycline antibiotic	7.00	19.01
Mrx	macrolide antibiotic	26.00	85.39
PJM-1	carbapenem; cephalosporin; penicillin beta-lactam	9.00	60.38
leuO	nucleoside antibiotic; disinfecting agents and antiseptics	12.00	87.51
ANT(3'')-II-AAC(6')-IId bifunctional protein	aminoglycoside antibiotic	21.00	42.39
tet(63)	tetracycline antibiotic	7.00	8.12
mef(E)	macrolide antibiotic	3.00	27.56
mef(C)	macrolide antibiotic; tetracycline antibiotic	717.00	100.00
catA1	phenicol antibiotic	4.00	31.97
Clostridioides difficile cplR	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; nucleoside antibiotic	4.00	2.48
Clostridium sporogenes cplR	lincosamide antibiotic; antibiotic without defined classification; pleuromutilin antibiotic	9.00	7.84
RAD-1	carbapenem; cephalosporin	1.00	3.47
aadT	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	2.00	19.74
RATA-1	carbapenem	34.00	100.00
RATA-2	carbapenem	5.00	48.63
CARB-56	penicillin beta-lactam	6.00	5.87
CARB-58	penicillin beta-lactam	14.00	91.72
CHM-1	carbapenem; cephalosporin	1.00	3.43
ACT-190	carbapenem; cephalosporin; penicillin beta-lactam	2.00	17.36
GES-51	carbapenem; cephalosporin; penicillin beta-lactam	195.00	96.76
AIM-2	cephalosporin; penicillin beta-lactam	9.00	58.22
EstT	macrolide antibiotic	2.00	32.79
ADC-277	cephalosporin	45.00	11.54
MdtQ	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	16.00	68.82
CME-3	penicillin beta-lactam	2.00	27.67
CMY-188	cephalosporin	1.00	12.83
IMP-90	carbapenem; cephalosporin; penicillin beta-lactam	1.00	3.37
MOX-15	cephalosporin; penicillin beta-lactam	2.00	25.26
OXA-1044	carbapenem; penicillin beta-lactam	12.00	28.48
OXA-1101	penicillin beta-lactam	16.00	12.96
OXA-1108	penicillin beta-lactam	45.00	83.86
OXA-1122	carbapenem; penicillin beta-lactam	88.00	15.42
OXA-1112	carbapenem; penicillin beta-lactam	2.00	27.68
OXA-1016	carbapenem; penicillin beta-lactam	2.00	25.97
OXA-1158	penicillin beta-lactam	2.00	37.86
OXA-1171	cephalosporin; penicillin beta-lactam	2.00	15.86
OXA-1208	carbapenem; penicillin beta-lactam	7.00	34.30
OXA-1251	penicillin beta-lactam	8.00	18.06
OXA-1261	penicillin beta-lactam	1.00	2.26
OXA-1173	cephalosporin; penicillin beta-lactam	1.00	4.47
OXA-1175	cephalosporin; penicillin beta-lactam	96.00	100.00
OXA-999	penicillin beta-lactam	2.00	2.02
OXY-1-19	monobactam; cephalosporin; penicillin beta-lactam	4.00	22.49
OXA-944	carbapenem; penicillin beta-lactam	5.00	55.67
OXY-12-1	monobactam; cephalosporin; penicillin beta-lactam	1.00	3.21
RASA-1	cephalosporin	27.00	91.44
RAA-1	cephalosporin	2.00	19.36
