ARO_Term	Drug_Class	All_Mapped_Reads	Average_Percent_Coverage
OXA-205	penicillin beta-lactam	27.00	100.00
OXA-362	carbapenem; penicillin beta-lactam	4.00	36.82
L1 beta-lactamase	cephalosporin	3.00	9.23
MexD	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	249.00	73.08
adeI	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	141.00	32.93
lmrD	lincosamide antibiotic	4.00	20.35
dfrA14	diaminopyrimidine antibiotic	69.00	85.23
OprA	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; tetracycline antibiotic	65.00	43.73
arnA	peptide antibiotic	18.00	61.29
AAC(6')-If	aminoglycoside antibiotic	1.00	34.48
tet(S)	tetracycline antibiotic	2.00	2.34
CARB-8	penicillin beta-lactam	24.00	80.49
adeK	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	236.00	70.86
macA	macrolide antibiotic	19.00	45.38
aadA24	aminoglycoside antibiotic	7.00	20.90
FosK	phosphonic acid antibiotic	2.00	6.27
aadA7	aminoglycoside antibiotic	25.00	100.00
ErmW	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	2.00	6.73
ErmB	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	19.00	65.46
lsaC	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	4.00	26.17
ceoA	fluoroquinolone antibiotic; aminoglycoside antibiotic	11.00	30.62
emrA	fluoroquinolone antibiotic	33.00	70.59
CTX-M-115	cephalosporin	1.00	17.12
aadA11	aminoglycoside antibiotic	255.00	100.00
Erm(33)	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	1.00	20.63
mexY	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	159.00	48.93
cphA3	carbapenem	1.00	4.84
OXA-334	carbapenem; penicillin beta-lactam	26.00	53.82
tet(36)	tetracycline antibiotic	9.00	52.78
ramA	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	7.00	98.13
bacA	peptide antibiotic	11.00	63.87
QnrS2	fluoroquinolone antibiotic	4.00	46.27
OXA-20	penicillin beta-lactam	3.00	27.97
linG	lincosamide antibiotic	8.00	72.99
mdtE	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	18.00	83.25
EreB	macrolide antibiotic	5.00	36.98
marA	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	13.00	68.49
lnuD	lincosamide antibiotic	7.00	59.19
tet(M)	tetracycline antibiotic	5.00	14.17
vgaB	streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	20.00	8.92
OXA-118	penicillin beta-lactam	4.00	36.70
aadA16	aminoglycoside antibiotic	27.00	65.25
MexB		276.00	79.31
OXA-309	carbapenem; penicillin beta-lactam	28.00	87.88
smeB	aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam	194.00	63.81
aadA6	aminoglycoside antibiotic	958.00	100.00
aadA8	aminoglycoside antibiotic	9.00	60.10
APH(3'')-Ib	aminoglycoside antibiotic	3.00	37.06
OXA-246	cephalosporin; penicillin beta-lactam	2.00	33.96
MdtK	fluoroquinolone antibiotic	4.00	30.53
mdtO	nucleoside antibiotic; disinfecting agents and antiseptics	19.00	81.19
aadA13	aminoglycoside antibiotic	9.00	59.40
patA	fluoroquinolone antibiotic	7.00	33.10
AAC(6')-Ib7	aminoglycoside antibiotic	39.00	43.51
vanS gene in vanA cluster	glycopeptide antibiotic	15.00	5.19
mtrD	macrolide antibiotic	66.00	44.26
tet(T)	tetracycline antibiotic	6.00	24.74
TriC	disinfecting agents and antiseptics	80.00	81.50
PmrF	peptide antibiotic	12.00	67.70
OpmH	disinfecting agents and antiseptics	48.00	98.83
mexQ	macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	89.00	64.07
MexK	macrolide antibiotic; tetracycline antibiotic	290.00	99.06
MexW	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	76.00	70.69
mexM	phenicol antibiotic	3.00	11.14
PEDO-2	carbapenem	5.00	11.31
mexN	phenicol antibiotic	86.00	74.70
CPS-1	carbapenem	11.00	79.61
MexJ	macrolide antibiotic; tetracycline antibiotic	9.00	54.89
mphG	macrolide antibiotic	369.00	100.00
tet(O)	tetracycline antibiotic	40.00	91.56
AAC(6')-Ib8	aminoglycoside antibiotic	4.00	37.32
gadW	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	10.00	58.71
PEDO-1	carbapenem	11.00	15.91
fusD	fusidane antibiotic	4.00	6.54
MOX-9	cephalosporin; penicillin beta-lactam	9.00	43.14
FRI-1	penicillin beta-lactam	4.00	4.63
AAC(3)-IId	aminoglycoside antibiotic	2.00	15.45
fusC	fusidane antibiotic	1.00	3.60
AAC(6')-Im	aminoglycoside antibiotic	4.00	70.58
oqxA	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	22.00	78.57
oqxB	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	111.00	86.39
aadA10	aminoglycoside antibiotic	16.00	98.80
ACT-38	carbapenem; cephalosporin; penicillin beta-lactam	1.00	13.18
msbA	nitroimidazole antibiotic	33.00	96.23
ESP-1	carbapenem	9.00	39.29
Mef(En2)	macrolide antibiotic; lincosamide antibiotic	5.00	24.30
efpA	rifamycin antibiotic; isoniazid-like antibiotic	3.00	13.81
kdpE	aminoglycoside antibiotic	12.00	100.00
OXA-296	penicillin beta-lactam	5.00	54.27
Staphylococcus aureus norA	fluoroquinolone antibiotic	22.00	14.31
Staphylococcus aureus FosB	phosphonic acid antibiotic	4.00	12.62
aadA27	aminoglycoside antibiotic	68.00	100.00
hmrM	fluoroquinolone antibiotic; disinfecting agents and antiseptics	5.00	7.03
MCR-9.1	peptide antibiotic	10.00	43.83
lfrA	fluoroquinolone antibiotic	35.00	46.86
tet(X4)	glycylcycline; tetracycline antibiotic	8.00	10.10
mgtA	macrolide antibiotic	23.00	7.08
