sample	Resistance_Mechanism	ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction
I_3-4	antibiotic target alteration	369	19	0.051490514905149054	18	0.04878048780487805
I_3-4	antibiotic target protection	34	8	0.23529411764705882	7	0.20588235294117646
I_3-4	antibiotic target replacement	15	4	0.26666666666666666	4	0.26666666666666666
I_3-4	reduced permeability to antibiotic	13	3	0.23076923076923078	3	0.23076923076923078
I_5-6	antibiotic efflux	143	13	0.09090909090909091	13	0.09090909090909091
I_5-6	antibiotic inactivation	59	15	0.2542372881355932	15	0.2542372881355932
I_5-6	antibiotic target alteration	349	8	0.022922636103151862	6	0.017191977077363897
I_5-6	antibiotic target protection	21	5	0.23809523809523808	5	0.23809523809523808
I_5-6	antibiotic target replacement	7	2	0.2857142857142857	2	0.2857142857142857
I_5-6	reduced permeability to antibiotic	2	1	0.5	1	0.5
I_7-8	antibiotic efflux	245	31	0.12653061224489795	31	0.12653061224489795
I_7-8	antibiotic inactivation	129	30	0.23255813953488372	29	0.2248062015503876
I_7-8	antibiotic target alteration	353	18	0.05099150141643059	16	0.0453257790368272
I_7-8	antibiotic target protection	31	9	0.2903225806451613	9	0.2903225806451613
I_7-8	antibiotic target replacement	14	5	0.35714285714285715	5	0.35714285714285715
I_7-8	reduced permeability to antibiotic	13	3	0.23076923076923078	3	0.23076923076923078
I_9-10	antibiotic efflux	276	37	0.13405797101449277	37	0.13405797101449277
I_9-10	antibiotic inactivation	140	28	0.2	28	0.2
I_9-10	antibiotic target alteration	391	21	0.05370843989769821	20	0.05115089514066496
I_9-10	antibiotic target protection	42	10	0.23809523809523808	10	0.23809523809523808
I_9-10	antibiotic target replacement	15	3	0.2	3	0.2
I_9-10	reduced permeability to antibiotic	12	4	0.3333333333333333	4	0.3333333333333333
RW_1	antibiotic efflux	148	28	0.1891891891891892	28	0.1891891891891892
RW_1	antibiotic inactivation	116	20	0.1724137931034483	19	0.16379310344827586
RW_1	antibiotic target alteration	328	19	0.057926829268292686	14	0.042682926829268296
RW_1	antibiotic target protection	31	8	0.25806451612903225	8	0.25806451612903225
RW_1	antibiotic target replacement	10	4	0.4	4	0.4
RW_1	reduced permeability to antibiotic	2	2	1.0	2	1.0
RW_2	antibiotic efflux	199	26	0.1306532663316583	25	0.12562814070351758
RW_2	antibiotic inactivation	102	25	0.24509803921568626	24	0.23529411764705882
RW_2	antibiotic target alteration	166	10	0.060240963855421686	9	0.05421686746987952
RW_2	antibiotic target protection	27	7	0.25925925925925924	7	0.25925925925925924
RW_2	antibiotic target replacement	12	5	0.4166666666666667	5	0.4166666666666667
RW_2	reduced permeability to antibiotic	8	3	0.375	3	0.375
RW_3	antibiotic efflux	202	21	0.10396039603960396	21	0.10396039603960396
RW_3	antibiotic inactivation	91	16	0.17582417582417584	16	0.17582417582417584
RW_3	antibiotic target alteration	180	7	0.03888888888888889	5	0.027777777777777776
RW_3	antibiotic target protection	21	3	0.14285714285714285	3	0.14285714285714285
RW_3	antibiotic target replacement	9	2	0.2222222222222222	2	0.2222222222222222
RW_3	reduced permeability to antibiotic	3	0	0.0	0	0.0
RW_4	antibiotic efflux	223	30	0.13452914798206278	30	0.13452914798206278
RW_4	antibiotic inactivation	103	20	0.1941747572815534	20	0.1941747572815534
RW_4	antibiotic target alteration	215	6	0.027906976744186046	6	0.027906976744186046
RW_4	antibiotic target protection	25	8	0.32	8	0.32
RW_4	antibiotic target replacement	13	3	0.23076923076923078	3	0.23076923076923078
RW_4	reduced permeability to antibiotic	7	1	0.14285714285714285	1	0.14285714285714285
RW_5	antibiotic efflux	216	26	0.12037037037037036	26	0.12037037037037036
RW_5	antibiotic inactivation	99	24	0.24242424242424243	24	0.24242424242424243
RW_5	antibiotic target alteration	248	16	0.06451612903225806	16	0.06451612903225806
RW_5	antibiotic target protection	32	6	0.1875	6	0.1875
RW_5	antibiotic target replacement	13	4	0.3076923076923077	4	0.3076923076923077
RW_5	reduced permeability to antibiotic	9	3	0.3333333333333333	3	0.3333333333333333
RW_6	antibiotic efflux	168	23	0.13690476190476192	23	0.13690476190476192
RW_6	antibiotic inactivation	104	22	0.21153846153846154	21	0.20192307692307693
RW_6	antibiotic target alteration	245	12	0.04897959183673469	10	0.04081632653061224
RW_6	antibiotic target protection	27	5	0.18518518518518517	5	0.18518518518518517
RW_6	antibiotic target replacement	7	0	0.0	0	0.0
RW_6	reduced permeability to antibiotic	6	2	0.3333333333333333	2	0.3333333333333333
SRR5007116	antibiotic efflux	34	0	0.0	0	0.0
SRR5007116	antibiotic inactivation	5	0	0.0	0	0.0
SRR5007116	antibiotic target alteration	162	1	0.006172839506172839	0	0.0
SRR5007116	antibiotic target protection	6	0	0.0	0	0.0
SRR5007352	antibiotic efflux	22	1	0.045454545454545456	1	0.045454545454545456
SRR5007352	antibiotic inactivation	20	4	0.2	3	0.15
SRR5007352	antibiotic target alteration	195	0	0.0	0	0.0
SRR5007352	antibiotic target protection	11	3	0.2727272727272727	2	0.18181818181818182
