sample	cohort_memberships	source_mode	total_ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_like_ARG_loci	plasmid_like_ARG_fraction	virus_like_ARG_loci	virus_like_ARG_fraction	chromosome_like_ARG_loci	chromosome_like_ARG_fraction	canonical10_unique_ARG_loci	canonical10_mobile_ARG_loci	canonical10_mobile_ARG_fraction	canonical10_plasmid_ARG_loci	canonical10_plasmid_ARG_fraction	ARG_10class_Shannon	ARG_10class_richness
ERR1713370	Batch03_Global10	strict_perfect	301	41	0.1362126245847176	39	0.12956810631229235	2	0.006644518272425249	260	0.8637873754152824	131	34	0.2595419847328244	32	0.24427480916030533	1.9262058616236912	9
ERR1713371	Batch04B_NewCountries	strict_perfect	215	38	0.17674418604651163	38	0.17674418604651163	0	0.0	177	0.8232558139534883	146	32	0.2191780821917808	32	0.2191780821917808	1.9343307654114745	9
ERR1713372	Batch01_Clean21_USA_Chicago11	strict_perfect	235	32	0.13617021276595745	29	0.12340425531914893	3	0.01276595744680851	203	0.8638297872340426	93	22	0.23655913978494625	21	0.22580645161290322	2.0129498821290794	9
ERR1713379	Batch02_10countries_USA11	strict_perfect	9	9	1.0	4	0.4444444444444444	0	0.0	5	0.5555555555555556	5	5	1.0	4	0.8	0.6730116670092565	2
ERR1713381	Batch04A_NewCountries	strict_perfect	428	36	0.08411214953271028	34	0.0794392523364486	2	0.004672897196261682	392	0.9158878504672897	104	29	0.27884615384615385	28	0.2692307692307692	1.8205217485148601	10
ERR1713382	Batch03_Global10	strict_perfect	215	24	0.11162790697674418	24	0.11162790697674418	0	0.0	191	0.8883720930232558	86	12	0.13953488372093023	12	0.13953488372093023	1.8347679255019114	9
ERR1713384	Batch04B_NewCountries	strict_perfect	425	50	0.11764705882352941	49	0.11529411764705882	1	0.002352941176470588	375	0.8823529411764706	182	39	0.21428571428571427	38	0.2087912087912088	2.0095732512155924	10
ERR1713385	Batch03_Global10	strict_perfect	255	34	0.13333333333333333	32	0.12549019607843137	2	0.00784313725490196	221	0.8666666666666667	117	26	0.2222222222222222	25	0.21367521367521367	2.019158682970314	10
ERR1713386	Batch03_Global10	strict_perfect	348	57	0.16379310344827586	56	0.16091954022988506	1	0.0028735632183908046	291	0.8362068965517241	214	45	0.2102803738317757	44	0.205607476635514	1.9750498704268717	10
ERR1713394	Batch04A_NewCountries	strict_perfect	410	24	0.05853658536585366	23	0.05609756097560976	1	0.0024390243902439024	386	0.9414634146341463	156	21	0.1346153846153846	20	0.1282051282051282	1.843196766109579	10
ERR1713397	USA_CrossStudy8	strict_perfect	263	20	0.07604562737642585	20	0.07604562737642585	0	0.0	243	0.9239543726235742	80	10	0.125	10	0.125	1.8359556560784236	9
ERR1713398	USA_CrossStudy8	strict_perfect	147	15	0.10204081632653061	15	0.10204081632653061	0	0.0	132	0.8979591836734694	39	6	0.15384615384615385	6	0.15384615384615385	1.8040423259378824	9
ERR1713399	Batch01_Clean21_USA_Chicago11	strict_perfect	78	6	0.07692307692307693	6	0.07692307692307693	0	0.0	72	0.9230769230769231	24	5	0.20833333333333334	5	0.20833333333333334	1.4302848576741605	5
ERR1713400	USA_CrossStudy8	strict_perfect	215	25	0.11627906976744186	25	0.11627906976744186	0	0.0	190	0.8837209302325582	86	17	0.19767441860465115	17	0.19767441860465115	1.9482264669071343	9
ERR1713403	Batch02_10countries_USA11	strict_perfect	48	48	1.0	16	0.3333333333333333	4	0.08333333333333333	28	0.5833333333333334	19	19	1.0	13	0.6842105263157895	1.6333960726341687	7
ERR1713405	USA_CrossStudy8	strict_perfect	373	34	0.09115281501340483	34	0.09115281501340483	0	0.0	339	0.9088471849865952	148	24	0.16216216216216217	24	0.16216216216216217	2.0257603159427213	9
ERR1713406	USA_CrossStudy8	strict_perfect	277	26	0.09386281588447654	26	0.09386281588447654	0	0.0	251	0.9061371841155235	132	22	0.16666666666666666	22	0.16666666666666666	1.910187130474561	9
ERR1713407	Batch04B_NewCountries	strict_perfect	395	53	0.1341772151898734	53	0.1341772151898734	0	0.0	342	0.8658227848101265	258	43	0.16666666666666666	43	0.16666666666666666	2.00010996144119	10
ERR1713408	Batch04A_NewCountries	strict_perfect	281	26	0.09252669039145907	25	0.08896797153024912	1	0.0035587188612099642	255	0.9074733096085409	100	22	0.22	21	0.21	1.969803484376081	9
ERR1713409	Batch01_Clean21_USA_Chicago11	strict_perfect	202	23	0.11386138613861387	22	0.10891089108910891	1	0.0049504950495049506	179	0.8861386138613861	85	19	0.2235294117647059	18	0.21176470588235294	2.0080193401556676	9
ERR1713410	Batch01_Clean21_USA_Chicago11	strict_perfect	241	39	0.16182572614107885	37	0.15352697095435686	2	0.008298755186721992	202	0.8381742738589212	109	27	0.24770642201834864	25	0.22935779816513763	1.9278345169490725	10
ERR1725938	Batch03_Global10	strict_perfect	75	17	0.22666666666666666	17	0.22666666666666666	0	0.0	58	0.7733333333333333	43	13	0.3023255813953488	13	0.3023255813953488	1.8798859729532493	9
ERR1725947	Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	107	107	1.0	63	0.5887850467289719	2	0.018691588785046728	42	0.3925233644859813	58	58	1.0	45	0.7758620689655172	1.9236597618207156	9
ERR1725952	Batch03_Global10	strict_perfect	7	0	0.0	0	0.0	0	0.0	7	1.0	5	0	0.0	0	0.0	1.0549201679861442	3
ERR1725962	Hendriksen_Sensitivity_Aggregate;Pilot8	strict_perfect	31	31	1.0	15	0.4838709677419355	1	0.03225806451612903	15	0.4838709677419355	10	10	1.0	9	0.9	1.3778195080390327	4
ERR1725965	Batch03_Global10	strict_perfect	49	12	0.24489795918367346	12	0.24489795918367346	0	0.0	37	0.7551020408163265	32	11	0.34375	11	0.34375	1.8646493758060392	8
ERR1725966	Batch01_Clean21_USA_Chicago11	strict_perfect	60	3	0.05	3	0.05	0	0.0	57	0.95	27	3	0.1111111111111111	3	0.1111111111111111	1.555406822656664	6
ERR1725973	Batch01_Clean21_USA_Chicago11	strict_perfect	24	3	0.125	3	0.125	0	0.0	21	0.875	13	3	0.23076923076923078	3	0.23076923076923078	1.5426719687381505	6
ERR1725975	Batch01_Clean21_USA_Chicago11	strict_perfect	30	5	0.16666666666666666	5	0.16666666666666666	0	0.0	25	0.8333333333333334	15	3	0.2	3	0.2	1.9806756853584275	9
ERR1725976	Batch01_Clean21_USA_Chicago11	strict_perfect	51	12	0.23529411764705882	12	0.23529411764705882	0	0.0	39	0.7647058823529411	31	11	0.3548387096774194	11	0.3548387096774194	1.5879573475714759	7
ERR1725980	Batch03_Global10	strict_perfect	47	6	0.1276595744680851	6	0.1276595744680851	0	0.0	41	0.8723404255319149	21	4	0.19047619047619047	4	0.19047619047619047	1.5021360860953805	5
ERR1725981	Batch03_Global10	strict_perfect	99	19	0.1919191919191919	18	0.18181818181818182	1	0.010101010101010102	80	0.8080808080808081	58	18	0.3103448275862069	17	0.29310344827586204	1.8128106748724726	9
ERR1725987	Batch04A_NewCountries	strict_perfect	3	0	0.0	0	0.0	0	0.0	3	1.0	3	0	0.0	0	0.0	0.6365141682948128	2
ERR1725989	Batch04B_NewCountries	strict_perfect	65	7	0.1076923076923077	7	0.1076923076923077	0	0.0	58	0.8923076923076924	33	7	0.21212121212121213	7	0.21212121212121213	1.6425157048538888	6
ERR1725991	Batch04A_NewCountries	strict_perfect	48	10	0.20833333333333334	10	0.20833333333333334	0	0.0	38	0.7916666666666666	30	9	0.3	9	0.3	1.4488404268331865	6
ERR1725993	Batch04A_NewCountries	strict_perfect	105	21	0.2	21	0.2	0	0.0	84	0.8	69	16	0.2318840579710145	16	0.2318840579710145	1.9441006560542928	9
ERR1725995	Batch04A_NewCountries	strict_perfect	25	1	0.04	1	0.04	0	0.0	24	0.96	19	1	0.05263157894736842	1	0.05263157894736842	1.591020268707019	6
ERR1725996	Batch04B_NewCountries	strict_perfect	67	7	0.1044776119402985	6	0.08955223880597014	1	0.014925373134328358	60	0.8955223880597015	46	6	0.13043478260869565	5	0.10869565217391304	1.9071922655276716	8
ERR1725999	Batch04A_NewCountries	strict_perfect	45	4	0.08888888888888889	4	0.08888888888888889	0	0.0	41	0.9111111111111111	16	1	0.0625	1	0.0625	1.4150225884935588	5
ERR1726000	Batch04B_NewCountries	strict_perfect	12	5	0.4166666666666667	5	0.4166666666666667	0	0.0	7	0.5833333333333334	7	4	0.5714285714285714	4	0.5714285714285714	1.0042424730540764	3
ERR1726001	Batch04A_NewCountries	strict_perfect	21	1	0.047619047619047616	1	0.047619047619047616	0	0.0	20	0.9523809523809523	12	1	0.08333333333333333	1	0.08333333333333333	1.5508457063832815	5
ERR1726002	Batch04B_NewCountries	strict_perfect	36	7	0.19444444444444445	7	0.19444444444444445	0	0.0	29	0.8055555555555556	19	6	0.3157894736842105	6	0.3157894736842105	1.4966966288986279	6
ERR1726003	Batch04B_NewCountries	strict_perfect	72	9	0.125	9	0.125	0	0.0	63	0.875	41	7	0.17073170731707318	7	0.17073170731707318	1.874124854029354	9
ERR1726004	Batch04B_NewCountries	strict_perfect	38	4	0.10526315789473684	4	0.10526315789473684	0	0.0	34	0.8947368421052632	15	3	0.2	3	0.2	1.6674619334292946	7
ERR1726006	Batch04B_NewCountries	strict_perfect	43	6	0.13953488372093023	6	0.13953488372093023	0	0.0	37	0.8604651162790697	19	4	0.21052631578947367	4	0.21052631578947367	1.3895851727807598	5
ERR1726009	Batch04B_NewCountries	strict_perfect	75	6	0.08	6	0.08	0	0.0	69	0.92	39	5	0.1282051282051282	5	0.1282051282051282	1.8957009492059664	9
ERR2729809	USA_CrossStudy8	strict_perfect	141	19	0.1347517730496454	19	0.1347517730496454	0	0.0	122	0.8652482269503546	91	17	0.18681318681318682	17	0.18681318681318682	2.0052764212669305	10
ERR9855090	Batch04B_NewCountries	strict_perfect	232	58	0.25	57	0.24568965517241378	1	0.004310344827586207	174	0.75	124	41	0.33064516129032256	40	0.3225806451612903	2.093060136411586	10
E_1-2	Kathmandu18	strict_perfect	571	41	0.07180385288966724	40	0.07005253940455342	1	0.0017513134851138354	530	0.9281961471103327	180	31	0.17222222222222222	31	0.17222222222222222	1.9248704165385941	10
E_11-12	Kathmandu18	strict_perfect	605	65	0.10743801652892562	62	0.1024793388429752	3	0.0049586776859504135	540	0.8925619834710744	241	48	0.1991701244813278	47	0.1950207468879668	2.0337601003216994	10
E_3-4	Kathmandu18	strict_perfect	667	48	0.07196401799100449	48	0.07196401799100449	0	0.0	619	0.9280359820089955	216	37	0.1712962962962963	37	0.1712962962962963	1.8310946104819077	10
E_5-6	Kathmandu18	strict_perfect	723	84	0.11618257261410789	82	0.11341632088520055	2	0.0027662517289073307	639	0.8838174273858921	337	65	0.19287833827893175	65	0.19287833827893175	2.0234334019202516	10
E_7-8	Kathmandu18	strict_perfect	666	61	0.0915915915915916	58	0.08708708708708708	3	0.0045045045045045045	605	0.9084084084084084	223	46	0.2062780269058296	45	0.20179372197309417	1.9049973055766793	10
E_9-10	Kathmandu18	strict_perfect	588	35	0.05952380952380952	34	0.05782312925170068	1	0.0017006802721088435	553	0.9404761904761905	159	29	0.18238993710691823	29	0.18238993710691823	1.9014649282213418	10
