sample	Best_Hit_ARO	ARO	ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction
2017_SRR13208898	Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin	3003395	1	0	0.0	0	0.0
2017_SRR13208898	NPS-1	3004239	1	0	0.0	0	0.0
2017_SRR13208898	OXA-101	3001439	1	0	0.0	0	0.0
2017_SRR13208898	OXA-129	3001811	1	1	1.0	1	1.0
2017_SRR13208898	OXA-347	3001777	1	0	0.0	0	0.0
2017_SRR13208898	OXA-464	3003620	1	0	0.0	0	0.0
2017_SRR13208898	OXA-504	3005734	1	0	0.0	0	0.0
2017_SRR13208898	OXA-651	3005867	1	0	0.0	0	0.0
2017_SRR13208898	OXA-917	3006103	1	0	0.0	0	0.0
2017_SRR13208898	PRC-1	3007085	1	0	0.0	0	0.0
2017_SRR13208898	QnrB10	3002724	1	0	0.0	0	0.0
2017_SRR13208898	QnrS2	3002791	1	1	1.0	1	1.0
2017_SRR13208898	QnrVC4	3002801	1	0	0.0	0	0.0
2017_SRR13208898	SAT-4	3002897	1	0	0.0	0	0.0
2017_SRR13208898	VEB-1	3002370	1	0	0.0	0	0.0
2017_SRR13208898	YajC	3005040	1	0	0.0	0	0.0
2017_SRR13208898	aadA	3002601	1	0	0.0	0	0.0
2017_SRR13208898	aadA10	3004692	1	0	0.0	0	0.0
2017_SRR13208898	aadA11	3002611	1	0	0.0	0	0.0
2017_SRR13208898	aadA2	3002602	1	0	0.0	0	0.0
2017_SRR13208898	aadA27	3004682	1	1	1.0	1	1.0
2017_SRR13208898	aadA7	3002607	1	0	0.0	0	0.0
2017_SRR13208898	aadS	3004683	1	1	1.0	1	1.0
2017_SRR13208898	adeF	3000777	23	2	0.08695652173913043	2	0.08695652173913043
2017_SRR13208898	baeR	3000828	1	0	0.0	0	0.0
2017_SRR13208898	cmlA5	3002695	1	0	0.0	0	0.0
2017_SRR13208898	dfrA12	3002858	1	0	0.0	0	0.0
2017_SRR13208898	dfrA14	3002859	1	0	0.0	0	0.0
2017_SRR13208898	dfrF	3002867	1	0	0.0	0	0.0
2017_SRR13208898	emrR	3000516	2	1	0.5	1	0.5
2017_SRR13208898	eptB	3005047	1	0	0.0	0	0.0
2017_SRR13208898	kdpE	3003841	1	0	0.0	0	0.0
2017_SRR13208898	leuO	3003843	1	0	0.0	0	0.0
2017_SRR13208898	lnuC	3002837	1	0	0.0	0	0.0
2017_SRR13208898	marA	3000263	1	0	0.0	0	0.0
2017_SRR13208898	mefJ	3007049	1	0	0.0	0	0.0
2017_SRR13208898	mphA	3000316	1	1	1.0	1	1.0
2017_SRR13208898	mphE	3003741	1	1	1.0	1	1.0
2017_SRR13208898	mphF	3003071	1	0	0.0	0	0.0
2017_SRR13208898	mphG	3003742	3	0	0.0	0	0.0
2017_SRR13208898	msbA	3003950	1	0	0.0	0	0.0
2017_SRR13208898	msrE	3003109	1	1	1.0	1	1.0
2017_SRR13208898	nimJ	3007112	1	0	0.0	0	0.0
2017_SRR13208898	oqxA	3003922	1	1	1.0	1	1.0
2017_SRR13208898	patB	3000025	1	0	0.0	0	0.0
2017_SRR13208898	qacEdelta1	3005010	1	0	0.0	0	0.0
2017_SRR13208898	qacG	3007015	18	4	0.2222222222222222	4	0.2222222222222222
2017_SRR13208898	qacJ	3007014	20	2	0.1	2	0.1
2017_SRR13208898	rsmA	3005069	4	0	0.0	0	0.0
2017_SRR13208898	sul1	3000410	1	0	0.0	0	0.0
2017_SRR13208898	tet(32)	3000196	1	0	0.0	0	0.0
2017_SRR13208898	tet(36)	3000197	1	0	0.0	0	0.0
2017_SRR13208898	tet(39)	3000566	1	1	1.0	1	1.0
2017_SRR13208898	tet(40)	3000567	1	0	0.0	0	0.0
2017_SRR13208898	tet(A)	3000165	1	0	0.0	0	0.0
2017_SRR13208898	tet(C)	3000167	1	1	1.0	1	1.0
2017_SRR13208898	tet(O)	3000190	2	0	0.0	0	0.0
2017_SRR13208898	tet(Q)	3000191	2	0	0.0	0	0.0
2017_SRR13208898	tet(S)	3000192	1	0	0.0	0	0.0
2017_SRR13208898	tet(W)	3000194	1	0	0.0	0	0.0
2017_SRR13208898	tet(X)	3000205	1	0	0.0	0	0.0
2017_SRR13208898	tet(X1)	3005166	1	0	0.0	0	0.0
2017_SRR13208898	vanG	3002909	2	0	0.0	0	0.0
2017_SRR13208898	vanH gene in vanB cluster	3002943	1	0	0.0	0	0.0
2017_SRR13208898	vanH gene in vanO cluster	3002948	2	0	0.0	0	0.0
2017_SRR13208898	vanT gene in vanG cluster	3002972	23	0	0.0	0	0.0
2017_SRR13208898	vanU gene in vanG cluster	3004253	1	0	0.0	0	0.0
2017_SRR13208898	vanW gene in vanG cluster	3002965	8	0	0.0	0	0.0
2017_SRR13208898	vanW gene in vanI cluster	3003724	6	0	0.0	0	0.0
2017_SRR13208898	vanY gene in vanA cluster	3002955	1	0	0.0	0	0.0
2017_SRR13208898	vanY gene in vanB cluster	3002956	8	0	0.0	0	0.0
2017_SRR13208898	vanY gene in vanG cluster	3002959	2	0	0.0	0	0.0
2017_SRR13208898	vanY gene in vanM cluster	3002961	1	0	0.0	0	0.0
2018_SRR13208892	ANT(2'')-Ia	3000230	1	0	0.0	0	0.0
2018_SRR13208892	APH(3'')-Ib	3002639	1	1	1.0	1	1.0
2018_SRR13208892	CRP	3000518	1	0	0.0	0	0.0
2018_SRR13208892	CblA-1	3002999	1	0	0.0	0	0.0
2018_SRR13208892	CfxA2	3003002	1	0	0.0	0	0.0
2018_SRR13208892	CfxA6	3003097	1	0	0.0	0	0.0
2018_SRR13208892	EBR-4	3005462	1	0	0.0	0	0.0
2018_SRR13208892	EreD	3004608	2	0	0.0	0	0.0
2018_SRR13208892	ErmB	3000375	1	1	1.0	1	1.0
2018_SRR13208892	ErmG	3000522	1	0	0.0	0	0.0
2018_SRR13208892	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	1	0	0.0	0	0.0
2018_SRR13208892	FONA-6	3004793	1	0	0.0	0	0.0
2018_SRR13208892	GES-5	3002334	1	0	0.0	0	0.0
2018_SRR13208892	ICR-Mo	3004569	1	0	0.0	0	0.0
2018_SRR13208892	Klebsiella pneumoniae KpnF	3004583	1	0	0.0	0	0.0
2018_SRR13208892	LnuH	3004600	1	0	0.0	0	0.0
2018_SRR13208892	MOX-9	3002191	1	0	0.0	0	0.0
2018_SRR13208892	Mef(En2)	3004659	1	0	0.0	0	0.0
2018_SRR13208892	Mrx	3003839	1	1	1.0	1	1.0
2018_SRR13208892	OXA-17	3001412	1	1	1.0	1	1.0
2018_SRR13208892	OXA-2	3001397	1	1	1.0	1	1.0
2018_SRR13208892	OXA-20	3001415	1	0	0.0	0	0.0
2018_SRR13208892	OXA-205	3001483	1	0	0.0	0	0.0
2018_SRR13208892	OXA-275	3001731	1	1	1.0	1	1.0
2018_SRR13208892	OXA-347	3001777	1	0	0.0	0	0.0
2018_SRR13208892	OXA-4	3001399	1	0	0.0	0	0.0
2018_SRR13208892	OXA-917	3006103	1	0	0.0	0	0.0
2018_SRR13208892	QnrB10	3002724	1	0	0.0	0	0.0
2018_SRR13208892	QnrD1	3002788	1	1	1.0	1	1.0
2018_SRR13208892	QnrS2	3002791	1	1	1.0	1	1.0
2018_SRR13208892	TRU-1	3004450	1	0	0.0	0	0.0
2018_SRR13208892	aadA11	3002611	1	0	0.0	0	0.0
2018_SRR13208892	aadA27	3004682	1	1	1.0	1	1.0
2018_SRR13208892	aadA5	3002605	1	0	0.0	0	0.0
2018_SRR13208892	aadS	3004683	2	0	0.0	0	0.0
2018_SRR13208892	adeF	3000777	18	2	0.1111111111111111	2	0.1111111111111111
2018_SRR13208892	baeR	3000828	1	0	0.0	0	0.0
2018_SRR13208892	dfrA14	3002859	1	1	1.0	1	1.0
2018_SRR13208892	dfrF	3002867	1	0	0.0	0	0.0
2018_SRR13208892	emrR	3000516	1	0	0.0	0	0.0
