sample	common_class	ARG_loci	ARG_present	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction	virus_ARG_loci	virus_ARG_fraction	chromosome_ARG_loci	chromosome_ARG_fraction	ARG_locus_fraction
2023_SRR37365438	Sulfonamide	2	1	2	1.0	2	1.0	0	0.0	0	0.0	0.005633802816901409
2023_SRR37365438	Tetracycline	86	1	12	0.13953488372093023	12	0.13953488372093023	0	0.0	74	0.8604651162790697	0.24225352112676057
2023_SRR37365438	Trimethoprim	12	1	1	0.08333333333333333	1	0.08333333333333333	0	0.0	11	0.9166666666666666	0.03380281690140845
2024_ERR17001293	Aminoglycoside	15	1	4	0.26666666666666666	4	0.26666666666666666	0	0.0	11	0.7333333333333333	0.06329113924050633
2024_ERR17001293	Beta-lactam	35	1	3	0.08571428571428572	3	0.08571428571428572	0	0.0	32	0.9142857142857143	0.14767932489451477
2024_ERR17001293	Fosfomycin	6	1	0	0.0	0	0.0	0	0.0	6	1.0	0.02531645569620253
2024_ERR17001293	MLS	24	1	9	0.375	9	0.375	0	0.0	15	0.625	0.10126582278481013
2024_ERR17001293	Phenicol	19	1	4	0.21052631578947367	4	0.21052631578947367	0	0.0	15	0.7894736842105263	0.08016877637130802
2024_ERR17001293	Quinolone	55	1	5	0.09090909090909091	4	0.07272727272727272	1	0.01818181818181818	50	0.9090909090909091	0.2320675105485232
2024_ERR17001293	Rifamycin	13	1	0	0.0	0	0.0	0	0.0	13	1.0	0.05485232067510549
2024_ERR17001293	Sulfonamide	2	1	2	1.0	2	1.0	0	0.0	0	0.0	0.008438818565400843
2024_ERR17001293	Tetracycline	64	1	7	0.109375	6	0.09375	1	0.015625	57	0.890625	0.270042194092827
2024_ERR17001293	Trimethoprim	4	1	1	0.25	1	0.25	0	0.0	3	0.75	0.016877637130801686
2025_ERR17359858	Aminoglycoside	2	1	0	0.0	0	0.0	0	0.0	2	1.0	0.2
2025_ERR17359858	Beta-lactam	2	1	1	0.5	1	0.5	0	0.0	1	0.5	0.2
2025_ERR17359858	Fosfomycin	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
2025_ERR17359858	MLS	3	1	1	0.3333333333333333	1	0.3333333333333333	0	0.0	2	0.6666666666666666	0.3
2025_ERR17359858	Phenicol	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
2025_ERR17359858	Quinolone	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
2025_ERR17359858	Rifamycin	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
2025_ERR17359858	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
2025_ERR17359858	Tetracycline	3	1	1	0.3333333333333333	1	0.3333333333333333	0	0.0	2	0.6666666666666666	0.3
2025_ERR17359858	Trimethoprim	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713331	Aminoglycoside	16	1	16	1.0	11	0.6875	0	0.0	5	0.3125	0.08888888888888889
ERR1713331	Beta-lactam	37	1	37	1.0	27	0.7297297297297297	0	0.0	10	0.2702702702702703	0.20555555555555555
ERR1713331	Fosfomycin	2	1	2	1.0	1	0.5	0	0.0	1	0.5	0.011111111111111112
ERR1713331	MLS	24	1	24	1.0	17	0.7083333333333334	0	0.0	7	0.2916666666666667	0.13333333333333333
ERR1713331	Phenicol	16	1	16	1.0	10	0.625	0	0.0	6	0.375	0.08888888888888889
ERR1713331	Quinolone	32	1	32	1.0	18	0.5625	1	0.03125	13	0.40625	0.17777777777777778
ERR1713331	Rifamycin	14	1	14	1.0	9	0.6428571428571429	0	0.0	5	0.35714285714285715	0.07777777777777778
ERR1713331	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713331	Tetracycline	37	1	37	1.0	22	0.5945945945945946	1	0.02702702702702703	14	0.3783783783783784	0.20555555555555555
ERR1713331	Trimethoprim	2	1	2	1.0	1	0.5	0	0.0	1	0.5	0.011111111111111112
ERR1713332	Aminoglycoside	6	1	6	1.0	5	0.8333333333333334	0	0.0	1	0.16666666666666666	0.18181818181818182
ERR1713332	Beta-lactam	10	1	10	1.0	5	0.5	1	0.1	4	0.4	0.30303030303030304
ERR1713332	Fosfomycin	3	1	3	1.0	0	0.0	0	0.0	3	1.0	0.09090909090909091
ERR1713332	MLS	10	1	10	1.0	10	1.0	0	0.0	0	0.0	0.30303030303030304
ERR1713332	Phenicol	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713332	Quinolone	1	1	1	1.0	0	0.0	0	0.0	1	1.0	0.030303030303030304
ERR1713332	Rifamycin	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713332	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713332	Tetracycline	3	1	3	1.0	1	0.3333333333333333	0	0.0	2	0.6666666666666666	0.09090909090909091
ERR1713332	Trimethoprim	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713334	Aminoglycoside	9	1	9	1.0	8	0.8888888888888888	0	0.0	1	0.1111111111111111	0.08035714285714286
ERR1713334	Beta-lactam	20	1	20	1.0	13	0.65	0	0.0	7	0.35	0.17857142857142858
ERR1713334	Fosfomycin	1	1	1	1.0	1	1.0	0	0.0	0	0.0	0.008928571428571428
ERR1713334	MLS	19	1	19	1.0	16	0.8421052631578947	1	0.05263157894736842	2	0.10526315789473684	0.16964285714285715
ERR1713334	Phenicol	8	1	8	1.0	5	0.625	0	0.0	3	0.375	0.07142857142857142
ERR1713334	Quinolone	18	1	18	1.0	10	0.5555555555555556	0	0.0	8	0.4444444444444444	0.16071428571428573
ERR1713334	Rifamycin	8	1	8	1.0	5	0.625	0	0.0	3	0.375	0.07142857142857142
ERR1713334	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713334	Tetracycline	29	1	29	1.0	19	0.6551724137931034	0	0.0	10	0.3448275862068966	0.25892857142857145
ERR1713334	Trimethoprim	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713335	Aminoglycoside	10	1	10	1.0	8	0.8	0	0.0	2	0.2	0.09009009009009009
ERR1713335	Beta-lactam	22	1	22	1.0	18	0.8181818181818182	0	0.0	4	0.18181818181818182	0.1981981981981982
ERR1713335	Fosfomycin	3	1	3	1.0	1	0.3333333333333333	1	0.3333333333333333	1	0.3333333333333333	0.02702702702702703
ERR1713335	MLS	19	1	19	1.0	15	0.7894736842105263	2	0.10526315789473684	2	0.10526315789473684	0.17117117117117117
ERR1713335	Phenicol	8	1	8	1.0	6	0.75	0	0.0	2	0.25	0.07207207207207207
