sample	cohort_memberships	mode	source_file
ERR1725996	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR1725996/ARG_mobility_overlap/ERR1725996_strict_perfect_overlap.tsv
ERR1725999	Batch04A_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04A_newcountries12/ERR1725999/ARG_mobility_overlap/ERR1725999_strict_perfect_overlap.tsv
ERR1726000	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR1726000/ARG_mobility_overlap/ERR1726000_strict_perfect_overlap.tsv
ERR1726001	Batch04A_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04A_newcountries12/ERR1726001/ARG_mobility_overlap/ERR1726001_strict_perfect_overlap.tsv
ERR1726002	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR1726002/ARG_mobility_overlap/ERR1726002_strict_perfect_overlap.tsv
ERR1726003	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR1726003/ARG_mobility_overlap/ERR1726003_strict_perfect_overlap.tsv
ERR1726004	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR1726004/ARG_mobility_overlap/ERR1726004_strict_perfect_overlap.tsv
ERR1726006	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR1726006/ARG_mobility_overlap/ERR1726006_strict_perfect_overlap.tsv
ERR1726009	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR1726009/ARG_mobility_overlap/ERR1726009_strict_perfect_overlap.tsv
ERR2729809	USA_CrossStudy8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_USA_crossstudy_additional8/ARG_Mobility_Overlap/ERR2729809/ERR2729809_strict_perfect_overlap.tsv
ERR9855090	Batch04B_NewCountries	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_batch04B_newcountries12/ERR9855090/ARG_mobility_overlap/ERR9855090_strict_perfect_overlap.tsv
E_1-2	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/E_1-2/E_1-2_strict_perfect_overlap.tsv
E_11-12	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/E_11-12/E_11-12_strict_perfect_overlap.tsv
E_3-4	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/E_3-4/E_3-4_strict_perfect_overlap.tsv
E_5-6	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/E_5-6/E_5-6_strict_perfect_overlap.tsv
E_7-8	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/E_7-8/E_7-8_strict_perfect_overlap.tsv
E_9-10	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/E_9-10/E_9-10_strict_perfect_overlap.tsv
I_1-2	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/I_1-2/I_1-2_strict_perfect_overlap.tsv
I_11-12	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/I_11-12/I_11-12_strict_perfect_overlap.tsv
I_3-4	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/I_3-4/I_3-4_strict_perfect_overlap.tsv
I_5-6	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/I_5-6/I_5-6_strict_perfect_overlap.tsv
I_7-8	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/I_7-8/I_7-8_strict_perfect_overlap.tsv
I_9-10	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/I_9-10/I_9-10_strict_perfect_overlap.tsv
RW_1	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/RW_1/RW_1_strict_perfect_overlap.tsv
RW_2	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/RW_2/RW_2_strict_perfect_overlap.tsv
RW_3	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/RW_3/RW_3_strict_perfect_overlap.tsv
RW_4	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/RW_4/RW_4_strict_perfect_overlap.tsv
RW_5	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/RW_5/RW_5_strict_perfect_overlap.tsv
RW_6	Kathmandu18	strict_perfect	rr-analysis/kathmandu_kbase/dataset_inputs_kathmandu_18/ARG_Mobility_Overlap/RW_6/RW_6_strict_perfect_overlap.tsv
SRR5007116	USA_CrossStudy8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_USA_crossstudy_additional8/ARG_Mobility_Overlap/SRR5007116/SRR5007116_strict_perfect_overlap.tsv
SRR5007352	USA_CrossStudy8	strict_perfect	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_USA_crossstudy_additional8/ARG_Mobility_Overlap/SRR5007352/SRR5007352_strict_perfect_overlap.tsv
