set	sample_id	Drug_Class	ARG_hits	mobile_context_ARG_hits
RM2016_batch03_global10	ERR1725965	fluoroquinolone antibiotic	2	0
RM2016_batch03_global10	ERR1725965	glycopeptide antibiotic	8	0
RM2016_batch03_global10	ERR1725965	glycylcycline	1	0
RM2016_batch03_global10	ERR1725965	macrolide antibiotic	3	2
RM2016_batch03_global10	ERR1725965	nucleoside antibiotic	1	0
RM2016_batch03_global10	ERR1725965	penam	8	2
RM2016_batch03_global10	ERR1725965	peptide antibiotic	1	0
RM2016_batch03_global10	ERR1725965	phenicol antibiotic	4	1
RM2016_batch03_global10	ERR1725965	phosphonic acid antibiotic	1	0
RM2016_batch03_global10	ERR1725965	streptogramin antibiotic	1	1
RM2016_batch03_global10	ERR1725965	sulfonamide antibiotic	1	1
RM2016_batch03_global10	ERR1725965	tetracycline antibiotic	7	3
RM2016_batch03_global10	ERR1725980	aminoglycoside antibiotic	5	2
RM2016_batch03_global10	ERR1725980	carbapenem	5	1
RM2016_batch03_global10	ERR1725980	cephalosporin	4	1
RM2016_batch03_global10	ERR1725980	disinfecting agents and antiseptics	14	2
RM2016_batch03_global10	ERR1725980	elfamycin antibiotic	1	0
RM2016_batch03_global10	ERR1725980	fluoroquinolone antibiotic	1	0
RM2016_batch03_global10	ERR1725980	glycopeptide antibiotic	11	0
RM2016_batch03_global10	ERR1725980	lincosamide antibiotic	1	0
RM2016_batch03_global10	ERR1725980	macrolide antibiotic	5	0
RM2016_batch03_global10	ERR1725980	penam	5	2
RM2016_batch03_global10	ERR1725980	streptogramin A antibiotic	1	0
RM2016_batch03_global10	ERR1725980	streptogramin B antibiotic	1	0
RM2016_batch03_global10	ERR1725980	streptogramin antibiotic	2	0
RM2016_batch03_global10	ERR1725980	tetracycline antibiotic	4	0
RM2016_batch03_global10	ERR1725981	aminoglycoside antibiotic	8	4
RM2016_batch03_global10	ERR1725981	carbapenem	9	3
RM2016_batch03_global10	ERR1725981	cephalosporin	11	3
RM2016_batch03_global10	ERR1725981	cephamycin	2	0
RM2016_batch03_global10	ERR1725981	diaminopyrimidine antibiotic	1	1
RM2016_batch03_global10	ERR1725981	disinfecting agents and antiseptics	15	1
RM2016_batch03_global10	ERR1725981	elfamycin antibiotic	1	0
RM2016_batch03_global10	ERR1725981	fluoroquinolone antibiotic	5	0
RM2016_batch03_global10	ERR1725981	glycopeptide antibiotic	23	0
RM2016_batch03_global10	ERR1725981	glycylcycline	1	0
RM2016_batch03_global10	ERR1725981	lincosamide antibiotic	7	2
RM2016_batch03_global10	ERR1725981	macrolide antibiotic	12	7
RM2016_batch03_global10	ERR1725981	monobactam	1	0
RM2016_batch03_global10	ERR1725981	nitroimidazole antibiotic	1	0
RM2016_batch03_global10	ERR1725981	penam	15	3
RM2016_batch03_global10	ERR1725981	peptide antibiotic	1	0
RM2016_batch03_global10	ERR1725981	phenicol antibiotic	1	0
RM2016_batch03_global10	ERR1725981	phosphonic acid antibiotic	2	0
RM2016_batch03_global10	ERR1725981	streptogramin A antibiotic	2	1
RM2016_batch03_global10	ERR1725981	streptogramin B antibiotic	2	1
RM2016_batch03_global10	ERR1725981	streptogramin antibiotic	3	2
RM2016_batch03_global10	ERR1725981	sulfonamide antibiotic	2	1
RM2016_batch03_global10	ERR1725981	tetracycline antibiotic	10	1
