sample_id	stage	relative_path	file_name	bytes	sha256	status
ERR1713370	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713370/ERR1713370_sample_summary.tsv	ERR1713370_sample_summary.tsv	374	d45affe07d2c8055540812838db974a22ca3d3a3b49b45a50ca764b7508abe5d	PASS
ERR1713370	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713370/ERR1713370_strict_perfect_overlap.tsv	ERR1713370_strict_perfect_overlap.tsv	113764	7e0b37c58d1a8ac5e713fab0ab07986369895e3e6a250965413acf060c9feda4	PASS
ERR1713370	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713370/ERR1713370_strict_perfect_sample_summary.tsv	ERR1713370_strict_perfect_sample_summary.tsv	344	6a8b403a2284e27c58a778cc72db4ae4996d0cebf25fa422eef233ec8c28ef87	PASS
ERR1713382	FASTP	FASTP/ERR1713382/ERR1713382.fastp.json	ERR1713382.fastp.json	143052	b84b1919d3c2237e78f582a807e00da74d2aeec884ea48719d1d4b16e60fd617	PASS
ERR1713382	Bowtie2	Bowtie2/ERR1713382/ERR1713382.bowtie2.log	ERR1713382.bowtie2.log	627	c0de447819a0d2473347ff37bf2e2432a4601672a8356527b3ba90486605da0a	PASS
ERR1713382	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713382/ERR1713382_rgi_bwt.gene_mapping_data.txt	ERR1713382_rgi_bwt.gene_mapping_data.txt	194337	fadae34c0d70ccb851d61e5cee200ba73b67e33c50af6d29c643d811b8bdd19b	PASS
ERR1713382	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713382/ERR1713382_rgi_bwt.overall_mapping_stats.txt	ERR1713382_rgi_bwt.overall_mapping_stats.txt	522	52c8a35d45e5e5748a6953f101b431bed3e1a2b5d03b627d5c51b804013b4384	PASS
ERR1713382	CARD_RGI_Main	CARD_RGI_Main/ERR1713382/ERR1713382_rgi_main_compact.tsv	ERR1713382_rgi_main_compact.tsv	87621	94d75e31d03b0fe06e9d39b1c0a5f64e68565eb1a8bb4c9fbcb5dbb5e3b5fa38	PASS
ERR1713382	DIAMOND_CARD	DIAMOND_CARD/ERR1713382/ERR1713382_diamond_card_merged.tsv.gz	ERR1713382_diamond_card_merged.tsv.gz	4792260	ce25cbeebc106f3aaa886f6dfddbac3053d73b67b8daf78e8aa272df48620ab1	PASS
ERR1713382	geNomAD	geNomAD/ERR1713382/ERR1713382.contigs_plasmid_summary.tsv	ERR1713382.contigs_plasmid_summary.tsv	294349	7d8a220e82ab6571888e14c703f57d292634cd496d63be55b4399497cd19cb16	PASS
ERR1713382	geNomAD	geNomAD/ERR1713382/ERR1713382.contigs_virus_summary.tsv	ERR1713382.contigs_virus_summary.tsv	298425	49f1b6e38474b46885d9da9921d0b6d217902e56515f5426581df3a9f4ed3617	PASS
ERR1713382	Assembly	Assembly/ERR1713382/ERR1713382_assembly_metrics.tsv	ERR1713382_assembly_metrics.tsv	233	cf0d015db8793210f39cc36b32037f5c1f02ca454b1fedd31192b2751f599722	PASS
